0.00000000e+00,0.00000000e+00.1,0.00000000e+00.2,-1.35578944e-08
6.5775e-07,4.890735,6.5775e-07,-0.222272601
6.58220012e-07,4.89073203,6.58220012e-07,-0.222905546
6.58725293e-07,4.8907324,6.58725293e-07,-0.226934491
6.5923548e-07,4.89074042,6.5923548e-07,-0.231790107
6.595e-07,4.89072417,6.595e-07,-0.23351849
6.59548808e-07,4.89073255,6.59548808e-07,-0.233481992
6.59646424e-07,4.89078289,6.59646424e-07,-0.233297227
6.59841655e-07,4.89135696,6.59841655e-07,-0.236743021
6.60030996e-07,4.89283497,6.60030996e-07,-0.248175048
6.60333049e-07,4.89874733,6.60333049e-07,-0.230560853
6.6053559e-07,4.89575663,6.6053559e-07,-0.221841723
6.60734351e-07,4.88085202,6.60734351e-07,-0.219470249
6.60866658e-07,4.86293548,6.60866658e-07,-0.214687774
6.6099864e-07,4.82603411,6.6099864e-07,-0.206557859
6.61262606e-07,4.33362305,6.61262606e-07,-0.0768007332
6.61545887e-07,3.59982151,6.61545887e-07,-0.0224669107
6.61849711e-07,2.97270677,6.61849711e-07,-0.0289296215
6.62185236e-07,2.34927065,6.62185236e-07,-0.0106548582
6.62621327e-07,2.08460168,6.62621327e-07,-0.00160789878
6.63119456e-07,2.07246023,6.63119456e-07,0.00114597525
6.63649032e-07,2.07604028,6.63649032e-07,-0.0011987513
6.64322401e-07,2.07307834,6.64322401e-07,0.0012102049
6.6566387e-07,2.07385083,6.6566387e-07,-0.00123837125
6.6779547e-07,2.07009738,6.6779547e-07,0.00122630926
6.72058668e-07,2.0681103,6.72058668e-07,-0.00124619881
6.76e-07,2.06283151,6.76e-07,0.00123115374
6.761e-07,2.06352952,6.761e-07,2.59786017e-05
6.763e-07,2.06350752,6.763e-07,7.3769129e-05
6.76511065e-07,2.06315729,6.76511065e-07,-0.000747082357
6.76738547e-07,2.0628591,6.76738547e-07,-0.00521221097
6.76919078e-07,2.06249851,6.76919078e-07,-0.00973931528
6.77e-07,2.06244044,6.77e-07,-0.01145718
6.77018995e-07,2.0624113,6.77018995e-07,-0.0116762359
6.77056984e-07,2.06239437,6.77056984e-07,-0.0119368052
6.77132964e-07,2.06240807,6.77132964e-07,-0.0120910889
6.77284922e-07,2.06232727,6.77284922e-07,-0.0118264274
6.77465723e-07,2.06223739,6.77465723e-07,-0.0114851213
6.77703828e-07,2.06821846,6.77703828e-07,-0.0211538194
6.77953042e-07,2.16038301,6.77953042e-07,-0.0546177547
