0.00000000e+00,0.00000000e+00.1,0.00000000e+00.2,-1.12877956e-08,0.00000000e+00.3,-2.27256391e-09,0.00000000e+00.4,0.00000000e+00.5
7.90374691e-09,1.76493525,7.90374691e-09,0.00164404898,7.90374691e-09,-0.000303508465,7.90374691e-09,0.0802243295
8.90374691e-09,1.76497829,8.90374691e-09,-0.00163793692,8.90374691e-09,0.000302580985,8.90374691e-09,0.0802262859
9.90374691e-09,1.76469719,9.90374691e-09,0.00162938477,9.90374691e-09,-0.000303595467,9.90374691e-09,0.0802135087
1e-08,1.76483101,1e-08,-0.00156807452,1e-08,0.000303257954,1e-08,0.0802195912
1.00237687e-08,1.76478017,1.00237687e-08,-6.49998609e-05,1.00237687e-08,-3.58092127e-05,1.00237687e-08,0.0802172807
1.0071306e-08,1.76474223,1.0071306e-08,1.7307621e-05,1.0071306e-08,-1.96499562e-05,1.0071306e-08,0.0802155559
1.01663806e-08,1.76475649,1.01663806e-08,-1.53695091e-05,1.01663806e-08,-1.33772513e-05,1.01663806e-08,0.0802162041
1.035653e-08,1.76471365,1.035653e-08,1.12743975e-05,1.035653e-08,-2.09443894e-05,1.035653e-08,0.0802142568
1.05751284e-08,1.76470266,1.05751284e-08,-3.21672961e-05,1.05751284e-08,-4.69121999e-05,1.05751284e-08,0.0802137575
1.08021867e-08,1.76465904,1.08021867e-08,-1.58433216e-05,1.08021867e-08,-0.0010617947,1.08021867e-08,0.0802117748
1.09778456e-08,1.76477214,1.09778456e-08,0.00106286819,1.09778456e-08,-0.00455985289,1.09778456e-08,0.0802169153
1.1e-08,1.76479713,1.1e-08,0.00139616669,1.1e-08,-0.00509064857,1.1e-08,0.0802180515
1.10111317e-08,1.76480824,1.10111317e-08,0.0014211168,1.10111317e-08,-0.00527383698,1.10111317e-08,0.0802185563
1.1033395e-08,1.76482988,1.1033395e-08,0.00159856711,1.1033395e-08,-0.00582294751,1.1033395e-08,0.0802195399
1.10779218e-08,1.76471447,1.10779218e-08,-4.85772962e-05,1.10779218e-08,-0.0071082769,1.10779218e-08,0.0802142941
1.11669752e-08,1.76232484,1.11669752e-08,-0.0238653379,1.11669752e-08,-0.0159757937,1.11669752e-08,0.0801056747
1.12518164e-08,1.75797525,1.12518164e-08,-0.0539920638,1.12518164e-08,-0.028328159,1.12518164e-08,0.0799079659
1.13561106e-08,1.75609273,1.13561106e-08,-0.138388552,1.13561106e-08,-0.014864456,1.13561106e-08,0.0798223966
1.14544936e-08,2.28125699,1.14544936e-08,-0.614710413,1.14544936e-08,-7.37077862e-05,1.14544936e-08,0.1036935
1.15478393e-08,3.88268964,1.15478393e-08,-0.932367965,1.15478393e-08,0.0077822234,1.15478393e-08,0.176485893
1.16126292e-08,4.49247415,1.16126292e-08,-0.824967814,1.16126292e-08,-0.00694966734,1.16126292e-08,0.204203371
1.16873324e-08,4.63196588,1.16873324e-08,-0.743959387,1.16873324e-08,-0.00466985817,1.16873324e-08,0.210543904
1.17681488e-08,4.73470925,1.17681488e-08,-0.630279184,1.17681488e-08,-0.00857425572,1.17681488e-08,0.215214057
1.18535807e-08,4.78949979,1.18535807e-08,-0.533874832,1.18535807e-08,-0.00305217952,1.18535807e-08,0.217704536
1.19942488e-08,4.85001935,1.19942488e-08,-0.3681569,1.19942488e-08,-0.00486223052,1.19942488e-08,0.220455425
1.22332272e-08,4.88281697,1.22332272e-08,-0.251983905,1.22332272e-08,0.00144350257,1.22332272e-08,0.221946226
1.24784125e-08,4.8914056,1.24784125e-08,-0.219068829,1.24784125e-08,-0.00201795208,1.24784125e-08,0.222336618
1.28418426e-08,4.88956703,1.28418426e-08,-0.227423754,1.28418426e-08,0.00197310234,1.28418426e-08,0.222253047
1.31838874e-08,4.8918916,1.31838874e-08,-0.217004043,1.31838874e-08,-0.00196097265,1.31838874e-08,0.222358709
1.38679772e-08,4.88960756,1.38679772e-08,-0.227600503,1.38679772e-08,0.00195611741,1.38679772e-08,0.222254889
1.48679772e-08,4.8918379,1.48679772e-08,-0.217021619,1.48679772e-08,-0.00195281664,1.48679772e-08,0.222356268
1.58679772e-08,4.88965207,1.58679772e-08,-0.227579036,1.58679772e-08,0.00194948253,1.58679772e-08,0.222256912
1.68679772e-08,4.8917936,1.68679772e-08,-0.21704553,1.68679772e-08,-0.00194616118,1.68679772e-08,0.222354254
1.78679772e-08,4.88969591,1.78679772e-08,-0.227553951,1.78679772e-08,0.00194282134,1.78679772e-08,0.222258905
1.88679772e-08,4.89175043,1.88679772e-08,-0.217071072,1.88679772e-08,-0.00193950838,1.88679772e-08,0.222352292
1.98679772e-08,4.88973835,1.98679772e-08,-0.227528363,1.98679772e-08,0.00193619264,1.98679772e-08,0.222260834
2.08679772e-08,4.89170881,2.08679772e-08,-0.217096478,2.08679772e-08,-0.0019329161,2.08679772e-08,0.2223504
2.18679772e-08,4.8897792,2.18679772e-08,-0.227503273,2.18679772e-08,0.0019296482,2.18679772e-08,0.222262691
2.28679772e-08,4.89166879,2.28679772e-08,-0.217121179,2.28679772e-08,-0.0019264277,2.28679772e-08,0.222348581
2.38679772e-08,4.88981844,2.38679772e-08,-0.227479004,2.38679772e-08,0.00192322305,2.38679772e-08,0.222264474
2.48679772e-08,4.89163037,2.48679772e-08,-0.217144997,2.48679772e-08,-0.00192007054,2.48679772e-08,0.222346835
2.58679772e-08,4.88985609,2.58679772e-08,-0.227455648,2.58679772e-08,0.00191693809,2.58679772e-08,0.222266186
2.68679772e-08,4.8915935,2.68679772e-08,-0.217167889,2.68679772e-08,-0.00191386008,2.68679772e-08,0.222345159
2.78679772e-08,4.88989222,2.78679772e-08,-0.227433219,2.78679772e-08,0.00191080427,2.78679772e-08,0.222267828
2.88679772e-08,4.89155814,2.88679772e-08,-0.21718986,2.88679772e-08,-0.00190780363,2.88679772e-08,0.222343552
2.98679772e-08,4.88992688,2.98679772e-08,-0.227411701,2.98679772e-08,0.00190482608,2.98679772e-08,0.222269404
3.08679772e-08,4.89152421,3.08679772e-08,-0.217210934,3.08679772e-08,-0.00190190343,3.08679772e-08,0.22234201
3.18679772e-08,4.88996012,3.18679772e-08,-0.227391066,3.18679772e-08,0.00189900395,3.18679772e-08,0.222270915
3.28679772e-08,4.89149166,3.28679772e-08,-0.217231139,3.28679772e-08,-0.00189615851,3.28679772e-08,0.22234053
3.38679772e-08,4.88999201,3.38679772e-08,-0.227371283,3.38679772e-08,0.00189333581,3.38679772e-08,0.222272364
3.48679772e-08,4.89146045,3.48679772e-08,-0.21725051,3.48679772e-08,-0.00189056598,3.48679772e-08,0.222339111
3.58679772e-08,4.89002259,3.58679772e-08,-0.227352317,3.58679772e-08,0.00188781813,3.58679772e-08,0.222273754
3.68679772e-08,4.89143051,3.68679772e-08,-0.217269079,3.68679772e-08,-0.00188512174,3.68679772e-08,0.22233775
3.78679772e-08,4.89005192,3.78679772e-08,-0.227334138,3.78679772e-08,0.00188244648,3.78679772e-08,0.222275087
3.88679772e-08,4.8914018,3.88679772e-08,-0.217286879,3.88679772e-08,-0.00187982116,3.88679772e-08,0.222336445
3.98679772e-08,4.89008006,3.98679772e-08,-0.22731671,3.98679772e-08,0.001877216,3.98679772e-08,0.222276366
4.08679772e-08,4.89137425,4.08679772e-08,-0.217303943,4.08679772e-08,-0.00187465925,4.08679772e-08,0.222335193
4.18679772e-08,4.89010704,4.18679772e-08,-0.227300004,4.18679772e-08,0.00187212165,4.18679772e-08,0.222277593
4.28679772e-08,4.89134784,4.28679772e-08,-0.217320301,4.28679772e-08,-0.00186963091,4.28679772e-08,0.222333993
4.38679772e-08,4.89013291,4.38679772e-08,-0.227283988,4.38679772e-08,0.0018671583,4.38679772e-08,0.222278769
