0.00000000e+00,0.00000000e+00.1,0.00000000e+00.2,-1.35578944e-08
1.30762572e-08,4.83765089,1.30762572e-08,-0.317871096
1.35629417e-08,4.8429382,1.35629417e-08,-0.327556509
1.45363107e-08,4.83782366,1.45363107e-08,-0.317802121
1.64830486e-08,4.84285454,1.64830486e-08,-0.327588843
2.01275186e-08,4.83786587,2.01275186e-08,-0.317786047
2.74164585e-08,4.84283268,2.74164585e-08,-0.327597124
4.19943383e-08,4.83787677,4.19943383e-08,-0.317781935
7.11500979e-08,4.84282725,7.11500979e-08,-0.327599169
1.29461617e-07,4.83787949,1.29461617e-07,-0.317780914
1.66e-07,4.8428249,1.66e-07,-0.327600057
1.661e-07,4.84048004,1.661e-07,-0.322597132
1.663e-07,4.84023996,1.663e-07,-0.32264549
1.66511075e-07,4.84043646,1.66511075e-07,-0.323453853
1.66738554e-07,4.8401945,1.66738554e-07,-0.328116942
1.66919105e-07,4.84042587,1.66919105e-07,-0.332478828
1.67e-07,4.84026684,1.67e-07,-0.334282526
1.67018996e-07,4.84033529,1.67018996e-07,-0.334430222
1.67056988e-07,4.84040741,1.67056988e-07,-0.334555789
1.67132972e-07,4.84042567,1.67132972e-07,-0.334645864
1.6728494e-07,4.84038358,1.6728494e-07,-0.33448067
1.67465702e-07,4.84040125,1.67465702e-07,-0.334069776
1.67703749e-07,4.84235861,1.67703749e-07,-0.338299681
1.67952792e-07,4.85022187,1.67952792e-07,-0.353862791
1.68226402e-07,4.87227435,1.68226402e-07,-0.333837796
1.68416669e-07,4.86753215,1.68416669e-07,-0.325312706
1.68578342e-07,4.84309244,1.68578342e-07,-0.323886894
1.68692345e-07,4.81684891,1.68692345e-07,-0.321085684
1.68821847e-07,4.75546752,1.68821847e-07,-0.316664489
1.69031655e-07,3.98491142,1.69031655e-07,-0.2553036
1.69329715e-07,1.93553994,1.69329715e-07,-0.109250431
1.69534009e-07,1.769255,1.69534009e-07,-0.116804758
1.69769354e-07,1.8064224,1.69769354e-07,-0.121118589
1.70094548e-07,1.76407903,1.70094548e-07,-0.116448165
1.70523383e-07,1.79888724,1.70523383e-07,-0.120919867
1.7098638e-07,1.76362375,1.7098638e-07,-0.116569451
1.71912374e-07,1.79542482,1.71912374e-07,-0.120622461
1.73376226e-07,1.76133217,1.73376226e-07,-0.116458228
1.76e-07,1.79051612,1.76e-07,-0.120271594
1.761e-07,1.77084779,1.761e-07,-0.117963413
1.763e-07,1.76911701,1.763e-07,-0.117790181
1.76511162e-07,1.77024957,1.76511162e-07,-0.118820705
1.76738596e-07,1.76869881,1.76738596e-07,-0.123183451
1.76919416e-07,1.76972261,1.76919416e-07,-0.127747206
1.77e-07,1.76858738,1.77e-07,-0.12937699
1.77019012e-07,1.76896373,1.77019012e-07,-0.129583476
1.77057037e-07,1.76908918,1.77057037e-07,-0.129745978
1.77133087e-07,1.7689256,1.77133087e-07,-0.129862689
1.77285187e-07,1.76880031,1.77285187e-07,-0.129726742
1.77466027e-07,1.76856256,1.77466027e-07,-0.129277894
1.77704066e-07,1.76967569,1.77704066e-07,-0.134820474
1.77953329e-07,1.7752649,1.77953329e-07,-0.154384348
1.7823224e-07,1.79865369,1.7823224e-07,-0.127960708
1.78453577e-07,2.04013397,1.78453577e-07,-0.136632629
1.78658127e-07,2.41241042,1.78658127e-07,-0.16184136
1.78827259e-07,2.43754926,1.78827259e-07,-0.162127604
1.7900245e-07,2.42218992,1.7900245e-07,-0.161719245
1.79271108e-07,2.43154253,1.79271108e-07,-0.1617985
1.79589318e-07,2.41986164,1.79589318e-07,-0.161521333
1.80147781e-07,2.42878449,1.80147781e-07,-0.16169935
1.80688246e-07,2.41839097,1.80688246e-07,-0.161421858
1.81769175e-07,2.42625177,1.81769175e-07,-0.161540648
1.83788839e-07,2.41403957,1.83788839e-07,-0.161126433
1.87747398e-07,2.41758617,1.87747398e-07,-0.160965707
1.95664517e-07,2.39706717,1.95664517e-07,-0.159993627
2.11498756e-07,2.38364515,2.11498756e-07,-0.158703762
2.43167232e-07,2.33018302,2.43167232e-07,-0.155534553
3.03167232e-07,2.25687558,3.03167232e-07,-0.150253046
3.63167232e-07,2.16895654,3.63167232e-07,-0.14478651
4.23167232e-07,2.1007195,4.23167232e-07,-0.139843279
4.83167232e-07,2.0184304,4.83167232e-07,-0.134751784
4.93e-07,2.01464105,4.93e-07,-0.134105494
4.9325e-07,2.01034319,4.9325e-07,-0.134018696
4.9375e-07,2.00963631,4.9375e-07,-0.133971986
4.94292345e-07,2.00908535,4.94292345e-07,-0.133949714
4.9433571e-07,2.00898474,4.9433571e-07,-0.133942595
4.9442244e-07,2.00887298,4.9442244e-07,-0.133929622
4.94538986e-07,2.00873145,4.94538986e-07,-0.134345972
4.94680615e-07,2.00856487,4.94680615e-07,-0.135070333
4.94836319e-07,2.00883404,4.94836319e-07,-0.137038416
